Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count,Total_Individuals,Total_Mutations,Total_Severe_Mutations,Gene_Individuals_with_Mutations_Prop,Gene_Individuals_with_Severe_Mutations_Prop
MYH2,Lung_Adenocarcinoma,90,13,75,12,508,195863,20684,0.14763779527559054,0.023622047244094488
CNTN5,Lung_Adenocarcinoma,59,11,52,10,508,195863,20684,0.10236220472440945,0.01968503937007874
DPP6,Lung_Adenocarcinoma,68,3,52,3,508,195863,20684,0.10236220472440945,0.005905511811023622
DUSP27,Lung_Adenocarcinoma,67,9,56,9,508,195863,20684,0.11023622047244094,0.017716535433070866
MYH13,Lung_Adenocarcinoma,65,7,60,7,508,195863,20684,0.11811023622047244,0.013779527559055118
COL5A2,Lung_Adenocarcinoma,62,10,56,10,508,195863,20684,0.11023622047244094,0.01968503937007874
TENM3,Lung_Adenocarcinoma,67,9,60,9,508,195863,20684,0.11811023622047244,0.017716535433070866
SPTA1,Lung_Adenocarcinoma,226,33,151,33,508,195863,20684,0.297244094488189,0.06496062992125984
SETBP1,Lung_Adenocarcinoma,80,11,65,11,508,195863,20684,0.1279527559055118,0.021653543307086614
MALAT1,Lung_Adenocarcinoma,66,0,58,0,508,195863,20684,0.1141732283464567,0
CSMD1,Lung_Adenocarcinoma,174,22,128,21,508,195863,20684,0.25196850393700787,0.04133858267716536
LPHN3,Lung_Adenocarcinoma,86,12,72,11,508,195863,20684,0.14173228346456693,0.021653543307086614
CHL1,Lung_Adenocarcinoma,67,7,56,7,508,195863,20684,0.11023622047244094,0.013779527559055118
FLNC,Lung_Adenocarcinoma,81,3,62,3,508,195863,20684,0.1220472440944882,0.005905511811023622
RELN,Lung_Adenocarcinoma,131,11,99,11,508,195863,20684,0.19488188976377951,0.021653543307086614
AHNAK2,Lung_Adenocarcinoma,146,7,100,6,508,195863,20684,0.1968503937007874,0.011811023622047244
SORCS1,Lung_Adenocarcinoma,102,12,76,11,508,195863,20684,0.14960629921259844,0.021653543307086614
TG,Lung_Adenocarcinoma,85,13,64,12,508,195863,20684,0.12598425196850394,0.023622047244094488
ZFHX4,Lung_Adenocarcinoma,295,30,175,29,508,195863,20684,0.34448818897637795,0.05708661417322835
TIAM1,Lung_Adenocarcinoma,75,10,65,10,508,195863,20684,0.1279527559055118,0.01968503937007874
THSD7B,Lung_Adenocarcinoma,68,7,55,7,508,195863,20684,0.10826771653543307,0.013779527559055118
PKHD1L1,Lung_Adenocarcinoma,104,11,75,11,508,195863,20684,0.14763779527559054,0.021653543307086614
CDH18,Lung_Adenocarcinoma,69,5,63,5,508,195863,20684,0.12401574803149606,0.00984251968503937
LRRC4C,Lung_Adenocarcinoma,62,6,51,6,508,195863,20684,0.10039370078740158,0.011811023622047244
XIRP2,Lung_Adenocarcinoma,245,21,165,20,508,195863,20684,0.3248031496062992,0.03937007874015748
CDH23,Lung_Adenocarcinoma,61,3,54,3,508,195863,20684,0.1062992125984252,0.005905511811023622
CDH9,Lung_Adenocarcinoma,94,12,79,12,508,195863,20684,0.15551181102362205,0.023622047244094488
KIF2B,Lung_Adenocarcinoma,87,6,75,6,508,195863,20684,0.14763779527559054,0.011811023622047244
DNAH9,Lung_Adenocarcinoma,153,23,111,21,508,195863,20684,0.21850393700787402,0.04133858267716536
LRRC7,Lung_Adenocarcinoma,121,19,92,19,508,195863,20684,0.18110236220472442,0.03740157480314961
SPATA31A6,Lung_Adenocarcinoma,66,5,57,5,508,195863,20684,0.11220472440944881,0.00984251968503937
MYO18B,Lung_Adenocarcinoma,67,3,59,3,508,195863,20684,0.11614173228346457,0.005905511811023622
TRPA1,Lung_Adenocarcinoma,71,12,63,12,508,195863,20684,0.12401574803149606,0.023622047244094488
MYH8,Lung_Adenocarcinoma,77,7,67,7,508,195863,20684,0.13188976377952755,0.013779527559055118
CPS1,Lung_Adenocarcinoma,86,12,72,12,508,195863,20684,0.14173228346456693,0.023622047244094488
PKD1L1,Lung_Adenocarcinoma,65,4,57,4,508,195863,20684,0.11220472440944881,0.007874015748031496
TPTE,Lung_Adenocarcinoma,93,15,79,15,508,195863,20684,0.15551181102362205,0.02952755905511811
DCHS2,Lung_Adenocarcinoma,66,5,56,5,508,195863,20684,0.11023622047244094,0.00984251968503937
FER1L6,Lung_Adenocarcinoma,70,12,58,12,508,195863,20684,0.1141732283464567,0.023622047244094488
SLIT2,Lung_Adenocarcinoma,65,10,56,10,508,195863,20684,0.11023622047244094,0.01968503937007874
MMP16,Lung_Adenocarcinoma,74,8,62,7,508,195863,20684,0.1220472440944882,0.013779527559055118
ANKRD30A,Lung_Adenocarcinoma,75,8,62,8,508,195863,20684,0.1220472440944882,0.015748031496062992
EPHB6,Lung_Adenocarcinoma,65,4,55,4,508,195863,20684,0.10826771653543307,0.007874015748031496
COL3A1,Lung_Adenocarcinoma,81,9,67,9,508,195863,20684,0.13188976377952755,0.017716535433070866
ITGA8,Lung_Adenocarcinoma,66,8,56,8,508,195863,20684,0.11023622047244094,0.015748031496062992
PCLO,Lung_Adenocarcinoma,163,17,121,16,508,195863,20684,0.23818897637795275,0.031496062992125984
