Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
UBASH3B,Uterine_Corpus_Endometrial_Carcinoma,65,8,44,8
ZNF644,Uterine_Corpus_Endometrial_Carcinoma,104,13,63,12
SPTB,Uterine_Corpus_Endometrial_Carcinoma,105,11,59,11
KIAA1033,Uterine_Corpus_Endometrial_Carcinoma,83,15,50,13
TMEM47,Uterine_Corpus_Endometrial_Carcinoma,74,0,44,0
STAG2,Uterine_Corpus_Endometrial_Carcinoma,172,16,63,15
OTUD7B,Uterine_Corpus_Endometrial_Carcinoma,77,9,51,9
ULK1,Uterine_Corpus_Endometrial_Carcinoma,66,9,45,9
UNKL,Uterine_Corpus_Endometrial_Carcinoma,53,3,46,3
FNIP1,Uterine_Corpus_Endometrial_Carcinoma,86,10,53,10
PTPRF,Uterine_Corpus_Endometrial_Carcinoma,116,3,57,3
SIN3A,Uterine_Corpus_Endometrial_Carcinoma,94,29,62,27
PCDHB12,Uterine_Corpus_Endometrial_Carcinoma,116,6,64,6
SCAP,Uterine_Corpus_Endometrial_Carcinoma,65,2,46,2
DISP1,Uterine_Corpus_Endometrial_Carcinoma,95,5,53,5
IGSF22,Uterine_Corpus_Endometrial_Carcinoma,69,3,45,3
SPTA1,Uterine_Corpus_Endometrial_Carcinoma,200,22,87,21
TMEM132B,Uterine_Corpus_Endometrial_Carcinoma,86,8,49,8
SON,Uterine_Corpus_Endometrial_Carcinoma,127,4,61,3
TNPO1,Uterine_Corpus_Endometrial_Carcinoma,118,5,53,5
CDH2,Uterine_Corpus_Endometrial_Carcinoma,90,8,52,6
SLC45A4,Uterine_Corpus_Endometrial_Carcinoma,75,3,49,3
KIRREL3,Uterine_Corpus_Endometrial_Carcinoma,94,3,49,3
PNISR,Uterine_Corpus_Endometrial_Carcinoma,69,16,48,16
SEMA4C,Uterine_Corpus_Endometrial_Carcinoma,60,6,45,6
SOS1,Uterine_Corpus_Endometrial_Carcinoma,66,10,48,9
CHERP,Uterine_Corpus_Endometrial_Carcinoma,72,8,44,8
ILF3,Uterine_Corpus_Endometrial_Carcinoma,77,9,51,8
GRIN3A,Uterine_Corpus_Endometrial_Carcinoma,98,3,49,3
SPAG17,Uterine_Corpus_Endometrial_Carcinoma,115,21,64,18
TRIM2,Uterine_Corpus_Endometrial_Carcinoma,93,3,57,3
DIAPH2,Uterine_Corpus_Endometrial_Carcinoma,149,23,55,16
MYBBP1A,Uterine_Corpus_Endometrial_Carcinoma,61,4,45,4
GPHN,Uterine_Corpus_Endometrial_Carcinoma,71,5,45,4
PDXK,Uterine_Corpus_Endometrial_Carcinoma,75,3,54,3
TNRC18,Uterine_Corpus_Endometrial_Carcinoma,147,31,74,27
ZNF862,Uterine_Corpus_Endometrial_Carcinoma,87,8,50,8
ZMYND8,Uterine_Corpus_Endometrial_Carcinoma,87,9,50,9
CACNB2,Uterine_Corpus_Endometrial_Carcinoma,96,9,47,8
ANPEP,Uterine_Corpus_Endometrial_Carcinoma,75,7,49,6
FOXP4,Uterine_Corpus_Endometrial_Carcinoma,66,12,45,12
KDM4B,Uterine_Corpus_Endometrial_Carcinoma,60,4,44,4
PKD1L1,Uterine_Corpus_Endometrial_Carcinoma,171,11,72,10
SDK2,Uterine_Corpus_Endometrial_Carcinoma,128,17,70,16
DSCAM,Uterine_Corpus_Endometrial_Carcinoma,170,10,77,9
BCL6,Uterine_Corpus_Endometrial_Carcinoma,78,12,47,10
NCOR1,Uterine_Corpus_Endometrial_Carcinoma,134,16,68,14
DOPEY1,Uterine_Corpus_Endometrial_Carcinoma,125,15,58,13
COL3A1,Uterine_Corpus_Endometrial_Carcinoma,105,9,55,9
ROR2,Uterine_Corpus_Endometrial_Carcinoma,82,4,49,4
CACNB4,Uterine_Corpus_Endometrial_Carcinoma,63,6,49,6
UBA1,Uterine_Corpus_Endometrial_Carcinoma,70,5,48,5
TJP2,Uterine_Corpus_Endometrial_Carcinoma,75,8,45,7
HDAC4,Uterine_Corpus_Endometrial_Carcinoma,158,11,68,10
SF3B1,Uterine_Corpus_Endometrial_Carcinoma,70,4,47,4
NLRP3,Uterine_Corpus_Endometrial_Carcinoma,93,6,49,6
ANO5,Uterine_Corpus_Endometrial_Carcinoma,92,8,49,7
ROBO3,Uterine_Corpus_Endometrial_Carcinoma,84,8,47,7
GABRQ,Uterine_Corpus_Endometrial_Carcinoma,68,8,44,7
ST5,Uterine_Corpus_Endometrial_Carcinoma,76,8,45,8
SLITRK2,Uterine_Corpus_Endometrial_Carcinoma,209,7,67,7
RGAG4,Uterine_Corpus_Endometrial_Carcinoma,78,10,47,10
C11orf30,Uterine_Corpus_Endometrial_Carcinoma,80,2,49,2
EPG5,Uterine_Corpus_Endometrial_Carcinoma,124,16,65,15
MAB21L1,Uterine_Corpus_Endometrial_Carcinoma,85,1,46,1
RGPD4,Uterine_Corpus_Endometrial_Carcinoma,95,5,49,5
CLASP1,Uterine_Corpus_Endometrial_Carcinoma,123,27,63,23
USP35,Uterine_Corpus_Endometrial_Carcinoma,56,5,44,5
C5orf42,Uterine_Corpus_Endometrial_Carcinoma,160,35,60,27
RABGAP1L,Uterine_Corpus_Endometrial_Carcinoma,73,8,47,8
STARD9,Uterine_Corpus_Endometrial_Carcinoma,117,14,55,14
UBR3,Uterine_Corpus_Endometrial_Carcinoma,129,13,70,13
LAMB1,Uterine_Corpus_Endometrial_Carcinoma,101,15,58,15
MON2,Uterine_Corpus_Endometrial_Carcinoma,102,12,51,12
DGKI,Uterine_Corpus_Endometrial_Carcinoma,86,13,45,11
ERBB3,Uterine_Corpus_Endometrial_Carcinoma,89,7,61,6
ATXN2L,Uterine_Corpus_Endometrial_Carcinoma,67,12,47,10
RAD51AP2,Uterine_Corpus_Endometrial_Carcinoma,98,23,45,21
GPR149,Uterine_Corpus_Endometrial_Carcinoma,82,12,45,11
RB1,Uterine_Corpus_Endometrial_Carcinoma,105,31,61,24
ATG2B,Uterine_Corpus_Endometrial_Carcinoma,108,19,47,18
C3,Uterine_Corpus_Endometrial_Carcinoma,116,14,63,13
IQGAP3,Uterine_Corpus_Endometrial_Carcinoma,77,6,53,6
PTPRG,Uterine_Corpus_Endometrial_Carcinoma,106,14,57,13
KCNJ3,Uterine_Corpus_Endometrial_Carcinoma,99,3,59,3
ARHGAP35,Uterine_Corpus_Endometrial_Carcinoma,169,66,98,61
SPTBN5,Uterine_Corpus_Endometrial_Carcinoma,171,14,77,12
FAM13A,Uterine_Corpus_Endometrial_Carcinoma,94,8,53,7
