Site,Winter_Longitude,Winter_Latitude,Stopover_Longitude,Stopover_Latitude,Iberian_Longitude,Iberian_Latitude,Westmost_Longitude,Westmost_Latitude
Dartmoor,-10.26507115,9.898770045,-5.70416039184648,40.0621577755409,-8.3878349859608,42.1410607282467,-15.8711145854718,31.9283003509066
Dartmoor,-7.896303618,4.395697781,NA,NA,-5.31402672018636,50.1827166113558,-16.1891689631588,32.3526863849801
Drenthe,-7.133873107,7.892854051,-3.88685727442347,23.1740575946627,-6.59708406016755,41.2221132706139,-18.6512962454195,21.816726474469
Drenthe,-8.671955783,7.035856261,-5.41978782124893,38.176599817951,-5.66776682095881,43.130426939462,-15.1854972108543,22.0495089059029
Drenthe,-7.474111607,11.09334397,-5.96082124578375,25.6675421071811,-7.45646760990429,33.6589558014605,-15.4558077015347,18.8205258386043
Drenthe,-7.412945538,10.27134792,-0.443080799016709,42.6736957852576,-6.68500371159587,38.2962189060225,-15.6752807257637,25.0378032314182
Drenthe,-6.309958357,5.260798909,-7.01745729160403,40.4463382704721,-6.68662575678602,42.7132989561673,-14.3145871505032,30.5593544321536
Drenthe,-7.350694273,6.301700553,NA,NA,-9.11284721688465,43.1548261214478,-14.068630753621,28.1240711787792
Drenthe,-5.47535477,5.597069645,-7.5669942608365,40.4437526933828,-7.68293052580918,42.0285409214383,-14.039811193005,33.5858074943073
Drenthe,-6.256238919,9.703173479,NA,NA,-5.8802649683039,41.5705461393021,-16.0040301366422,33.1686066965912
Drenthe,-5.921926872,9.425423829,-0.437402426958191,45.8071968721159,-12.5356856754158,26.2273970678644,-15.2107188056035,16.8259770452958
Drenthe,-5.80789389,13.4817809,-0.165937234643692,27.5261158519053,-6.58518899201688,41.018261446815,-14.8876093228542,22.5271585473002
Drenthe,-6.855286562,11.41905993,1.57906563442423,31.3890278072724,-4.26758356239192,41.0505513255817,-13.7323635737143,18.4075501703538
